商品番号	商品名	商品概要	商品区分	産地等	内容量	単価（税別）	備考
1010	霜伊吹	ほどよい粘りのある真っ白なお米。幅広い年齢から支持されている人気の商品。	白米	北海道	5kg	"2,800"	
1020	宮城の宝石	つややかな炊き上がりを誇るお米。炊き立てはもちろん、冷めてもおいしく、おにぎりにもおすすめ。	白米	宮城	5kg	"2,550"	
1030	あきの光	甘味たっぷり、もっちり食感。秋田の水と土壌の恵みを最大限にいかして作られたおいしいお米。	白米	秋田	5kg	"3,100"	
1040	艶子	一粒一粒が輝く存在感のある炊き上がり。粘りと光沢が花を添える飽きの来ないお米。	白米	秋田	5kg	"2,500"	
1050	雪白丸	厳しい基準をクリアした味、香り、食感もプレミアムなお米。雪のように白い美しさを堪能できる。	白米	新潟	5kg	"3,300"	
1060	晴天の稲穂	ふくよかな香りと上品な甘みで、お米本来のおいしさが際立つ。米どころ新潟、期待の新品種。	白米	新潟	5kg	"3,400"	
1070	シルバークイーン	大きな粒が特長の白く光沢のあるお米。ふっくら、もっちり、そのままでおいしい自慢の一品。	白米	千葉	5kg	"3,000"	
2010	霜伊吹　無洗米	"ほどよい粘りのある真っ白なお米。幅広い年齢から支持されている人気の商品。
手間いらずの無洗米。"	無洗米	北海道	5kg	"2,900"	
2020	宮城の宝石　無洗米	"つややかな炊き上がりを誇るお米。炊き立てはもちろん、冷めてもおいしく、おにぎりにもおすすめ。
手間いらずの無洗米。"	無洗米	宮城	5kg	"2,650"	
2030	あきの光　無洗米	"甘味たっぷり、もっちり食感。秋田の水と土壌の恵みを最大限にいかして作られたおいしいお米。
手間いらずの無洗米。"	無洗米	秋田	5kg	"3,200"	
2040	艶子　無洗米	"一粒一粒が輝く存在感のある炊き上がり。粘りと光沢が花を添える飽きの来ないお米。
手間いらずの無洗米。"	無洗米	秋田	5kg	"2,600"	
2050	雪白丸　無洗米	"厳しい基準をクリアした味、香り、食感もプレミアムなお米。雪のように白い美しさを堪能できる。
手間いらずの無洗米。"	無洗米	新潟	5kg	"3,400"	
2060	晴天の稲穂　無洗米	"ふくよかな香りと上品な甘みで、お米本来のおいしさが際立つ。米どころ新潟、期待の新品種。
手間いらずの無洗米。"	無洗米	新潟	5kg	"3,500"	
2070	シルバークイーン　無洗米	"大きな粒が特長の白く光沢のあるお米。ふっくら、もっちり、そのままでおいしい自慢の一品。
手間いらずの無洗米。"	無洗米	千葉	5kg	"3,100"	
3010	霜伊吹　玄米	「霜伊吹」の玄米。玄米として召し上がるほか、家庭用精米機やコイン式精米機を使って精米してもOK。	玄米	北海道	3kg	"2,300"	
3030	あきの光　玄米	「あきの光」の玄米。玄米として召し上がるほか、家庭用精米機やコイン式精米機を使って精米してもOK。	玄米	秋田	3kg	"2,600"	
3070	シルバークイーン　玄米	「シルバークイーン」の玄米。玄米として召し上がるほか、家庭用精米機やコイン式精米機を使って精米してもOK。	玄米	千葉	3kg	"1,900"	
4010	雑穀ブレンドセット	いつものお米に混ぜて炊くだけで、栄養豊かな雑穀ごはんが手軽に楽しめる。もちきび、ひえ、黒米、もちあわなど国産材料をブレンド。	雑穀米	国産	300g	"1,500"	30g×10本セット
4020	もち麦入り雑穀ブレンドセット	いつものお米に混ぜて炊くだけで、栄養豊かな雑穀ごはんが手軽に楽しめる。もち麦、もちきび、ひえ、おし麦、黒米、もちあわなど国産材料をブレンド。	雑穀米	国産	300g	"2,300"	30g×10本セット
